Audit_Risk;CR;DE;TDR;ROA;ROE;GPM;OM;AT;GROWTH;CFD;SIZE;AGE;IT;RT;INDUSTRY;AUDIT_TYPE;OWNERSHIP
Low;0,51;-0,0055;5,07;0,04;0,04;1,09;0,01;1,09;5,07;0,34;13,84;21,25;10,30;10,37;Retail/Trading;Big4;State-owned
Low;1,22;2,00;0,68;0,04;0,04;1,16;0,01;0,9;4,32;0,15;26,00;27,25;4,09;5,14;Manufacturing;Big4;Private
Low;1,36;2,00;0,73;0,08;0,04;1,42;0,01;0,82;1,77;0,33;21,00;21;4,75;5,19;Manufacturing;Non-Big4;State-owned
High;1,35;2,00;0,69;0,11;0,04;1,21;-0,01;1,05;2,71;0,3;26,00;32,33;4,46;5,42;Manufacturing;Non-Big4;Private
High;1,2;3,00;0,73;0,51;0,04;1,70;0,08;0,94;0,38;0,18;21,00;21;3,88;5,3;Manufacturing;Non-Big4;Private
Low;0,51;-0,1243;4,38;0,04;0,04;1,13;0,01;1,13;4,38;0,13;13,04;46,08;10,36;14,74;Retail/Trading;Big4;State-owned
Low;0,87;0,2223;5,04;0,04;0,04;1,10;0,02;1,10;5,04;0,35;13,55;26,25;11,83;8,9;Retail/Trading;Non-Big4;State-owned
High;1,25;0,0165;0,78;0,04;0,04;2,50;0,09;2,50;0,61;0,24;26,00;16;4,43;5,22;Manufacturing;Non-Big4;Private
High;1,22;0,0071;0,73;0,05;0,05;2,40;0,02;2,40;0,65;0,11;18,00;22,25;4,39;4,92;Manufacturing;Non-Big4;State-owned
Medium;1,98;0,3791;0,02;0,05;0,05;41,79;0,10;41,79;0,02;0,51;14,23;34,17;4,01;6,23;Retail/Trading;Non-Big4;Private
High;1,29;2,00;0,68;0,08;0,05;1,16;0,08;0,97;2,45;0,28;3,00;30,33;4,2;5,22;Manufacturing;Non-Big4;Private
High;1;3,00;0,76;0,27;0,05;1,93;0,12;0,89;0,74;0,21;25,00;18,67;4,33;5,17;Retail/Trading;Big4;Private
High;1,07;3,00;0,81;0,22;0,05;2,57;0,12;0,96;0,51;0,1;21,00;29,83;4,13;5,79;Retail/Trading;Big4;Private
Low;0,44;-0,1707;4,36;0,05;0,05;1,13;0,03;1,13;4,36;0,37;13,23;23,42;9,92;12,42;Services;Non-Big4;Foreign-owned (FDI)
High;0,43;-0,0243;4,06;0,05;0,05;1,14;0,03;1,14;4,06;0,37;13,5;31;9,68;11,11;Retail/Trading;Non-Big4;Foreign-owned (FDI)
High;1,03;2,00;0,72;0,16;0,06;4,20;0,07;0,9;0,85;0,24;14,00;38,92;4,22;4,62;Manufacturing;Big4;State-owned
Medium;1,26;2,00;0,74;0,19;0,06;2,27;0,06;1;0,57;0,14;26,00;25,33;4,42;4,82;Manufacturing;Big4;State-owned
Low;1,07;3,00;0,71;0,07;0,06;1,26;0,01;0,92;2,75;0,2;17,00;67,75;3,99;5,02;Retail/Trading;Non-Big4;Private
High;1,43;2,00;0,64;0,51;0,06;1,47;0,07;0,97;0,46;0,26;10,00;46;4,57;4,84;Manufacturing;Non-Big4;Private
Medium;0,88;0,0556;0,12;0,06;0,06;5,41;0,43;5,41;0,12;0,3;13,39;48,17;9,20;7,9;Services;Big4;Foreign-owned (FDI)
Medium;1,72;0,2329;0,45;0,07;0,07;1,42;0,19;1,42;1,08;0,47;13,00;25,5;5,6;5,33;Manufacturing;Non-Big4;Private
Medium;1,43;3,00;0,71;0,08;0,07;1,10;0,05;0,92;2,75;0,24;12,00;38,58;5;4,66;Manufacturing;Non-Big4;State-owned
Medium;1,71;-0,0121;8,84;0,08;0,08;1,02;0,02;1,02;8,84;0,31;14;44,25;21,35;7,49;Retail/Trading;Big4;State-owned
Low;1,37;0,0108;0,68;0,04;0,08;2,91;0,03;2,91;0,49;0,32;18,00;31,25;4,58;5,41;Manufacturing;Non-Big4;Private
High;1,44;3,00;0,68;0,54;0,08;1,48;0,08;1,03;0,7;0,15;19,00;27;4,81;5,33;Manufacturing;Non-Big4;Private
Medium;1,48;0,0243;9,61;0,08;0,08;1,03;0,01;1,03;9,61;0,05;14,61;50,75;21,61;16,45;Manufacturing;Big4;Private
Medium;0,62;0,338;0,1;0,08;0,08;4,14;0,47;4,14;0,1;0,34;13,69;23,92;8,72;8,63;Retail/Trading;Big4;Foreign-owned (FDI)
Low;2,37;1,7574;0,71;0,08;0,08;2,79;0,49;2,79;0,71;0,24;13,26;52,5;10,24;7,9;Retail/Trading;Big4;Foreign-owned (FDI)
Medium;2,52;0,3084;0,19;0,09;0,09;7,86;0,23;7,86;0,19;0,25;13,26;24,5;20,02;7,9;Services;Big4;Foreign-owned (FDI)
Medium;1,66;0,0361;9,29;0,09;0,09;1,02;0,01;1,02;9,29;0,07;14,3;34;21,10;15,33;Manufacturing;Non-Big4;Foreign-owned (FDI)
Low;2,51;-0,0145;0,17;0,09;0,09;10,21;0,17;10,21;0,17;0,05;13,41;28,46;19,73;10,65;Retail/Trading;Big4;Foreign-owned (FDI)
Medium;1,66;0,0829;0,16;0,09;0,09;6,13;0,09;6,13;0,16;0,17;14,31;19,17;6,90;12,69;Services;Big4;State-owned
Medium;1,86;0,2204;9,58;0,09;0,09;1,01;0,02;1,01;9,58;0,07;13,96;24,42;22,37;19,41;Services;Non-Big4;State-owned
Medium;1,79;-0,0896;8,65;0,09;0,09;1,02;0,01;1,02;8,65;0,03;14,04;24,33;20,36;10,38;Services;Big4;Foreign-owned (FDI)
Medium;1,9;0,2051;0,48;0,10;0,10;1,45;0,17;1,45;0,82;0,44;3,00;36,17;12,95;5,56;Manufacturing;Non-Big4;Foreign-owned (FDI)
Medium;0,66;0,6623;0,26;0,10;0,10;6,40;0,44;6,40;0,26;0,27;13,83;58,33;15,30;18,39;Services;Big4;Foreign-owned (FDI)
Low;1,79;0,1915;0,23;0,11;0,11;4,43;0,13;4,43;0,23;0,4;14,21;29,25;6,37;17,99;Manufacturing;Non-Big4;Private
Medium;1,87;0,0056;7,53;0,12;0,12;1,01;0,01;1,01;7,53;0,06;14;22,5;18,33;7,88;Services;Non-Big4;Foreign-owned (FDI)
Medium;1,9;0,2118;0,49;0,13;0,13;2,38;0,12;2,38;0,65;0,57;31,00;40,92;10,74;6,3;Manufacturing;Big4;State-owned
Low;2,05;0,1107;0,25;0,14;0,14;3,98;0,10;3,98;0,25;0,35;14,18;42,83;5,32;11,01;Retail/Trading;Non-Big4;Foreign-owned (FDI)
Medium;1,68;0,1298;0,56;0,15;0,15;1,77;0,12;1,77;0,74;0,46;33,00;21,08;5,86;6,18;Services;Big4;Private
Medium;1,01;0,1384;0,81;0,15;0,15;3,21;0,17;3,21;0,36;0,17;29,00;34,25;4,16;5,1;Manufacturing;Non-Big4;Private
Medium;1,65;0,085;0,54;0,16;0,16;3,30;0,13;3,30;0,37;0,52;32,00;20;4,82;6,18;Manufacturing;Big4;Private
Low;2,57;-0,0113;0,58;0,16;0,16;5,73;0,35;5,73;0,58;0,31;13,91;16,92;10,12;20;Services;Big4;Foreign-owned (FDI)
Low;1,64;0,2407;0,29;0,17;0,17;3,35;0,11;3,35;0,29;0,33;13,86;37,33;4,79;16,89;Manufacturing;Non-Big4;State-owned
Medium;1,66;-0,113;0,53;0,17;0,17;2,40;0,14;2,40;0,45;0,4;2,00;25,17;5,07;5,25;Services;Big4;Private
Medium;1,21;0,0492;0,72;0,18;0,18;3,02;0,17;3,02;0,39;0,27;10,00;42;4,08;4,69;Manufacturing;Non-Big4;State-owned
Medium;1,77;0,228;0,48;0,18;0,18;2,41;0,14;2,41;0,42;0,64;13,86;44;8,86;6,01;Manufacturing;Non-Big4;State-owned
Medium;1,17;0,2156;0,69;0,19;0,19;3,08;0,17;3,08;0,4;0,1;1,00;33,5;4,34;4,82;Manufacturing;Non-Big4;Private
Low;0,01;0,1196;1,89;0,20;0,20;1,20;0,12;1,20;1,89;0,44;13,5;28,75;6,71;12,87;Retail/Trading;Big4;Foreign-owned (FDI)
High;1,64;-0,0222;0,08;0,22;0,22;8,34;0,08;8,34;0,08;0,02;13,75;18,83;1,02;13,49;Manufacturing;Big4;State-owned
Medium;0,96;0,164;1,55;0,22;0,22;1,20;0,10;1,20;1,55;0,49;13,33;56,75;5,41;16,02;Services;Big4;State-owned
High;0,98;0,1069;1,75;0,23;0,23;1,16;0,11;1,16;1,75;0,08;13,59;35,17;5,99;11,14;Services;Big4;Foreign-owned (FDI)
High;1,43;-0,0822;0,21;0,24;0,24;3,96;0,08;3,96;0,21;0,38;14,33;20,67;3,86;14,54;Manufacturing;Non-Big4;State-owned
Low;1,85;0,2674;1,03;0,25;0,25;1,44;0,10;1,44;1,03;0,32;14,05;28,58;3,53;18,62;Retail/Trading;Non-Big4;Private
High;1,71;0,5684;0,97;0,26;0,26;1,45;0,09;1,45;0,97;0,37;13,66;23;2,80;12,69;Retail/Trading;Big4;State-owned
Medium;1,6;-0,0801;0,54;0,26;0,26;3,65;0,12;3,65;0,21;0,48;13,82;65,17;7,22;5,74;Services;Non-Big4;Private
High;0,28;0,1961;1,55;0,26;0,26;1,16;0,11;1,16;1,55;0,44;13,51;32,25;8,02;15,23;Retail/Trading;Big4;Foreign-owned (FDI)
High;2,34;0,0531;0,06;0,27;0,27;10,60;0,11;10,60;0,06;0,27;13,64;33,67;0,96;14,17;Services;Non-Big4;State-owned
Medium;1,76;0,0372;1,02;0,27;0,27;1,43;0,09;1,43;1,02;0,27;14,07;28,46;3,66;15,23;Services;Big4;Private
Medium;1,65;-0,0394;0,56;0,27;0,27;1,51;0,11;1,51;0,8;0,58;13,93;30,75;7,85;5,38;Manufacturing;Big4;State-owned
High;0,23;0,1188;1,53;0,27;0,27;1,10;0,13;1,10;1,53;0,53;13,64;28,42;8,98;14,27;Services;Big4;State-owned
High;2,41;0,0797;0,12;0,27;0,27;6,56;0,10;6,56;0,12;0,07;13,96;49;1,04;13,85;Retail/Trading;Big4;Foreign-owned (FDI)
Low;1,79;-0,0004;0,72;0,30;0,30;1,59;0,09;1,59;0,72;0,32;13,86;47,42;2,79;11,01;Manufacturing;Non-Big4;Foreign-owned (FDI)
High;1,59;-0,0048;0,84;0,32;0,32;1,41;0,08;1,41;0,84;0,28;13,86;22,08;2,79;6,62;Manufacturing;Non-Big4;State-owned
Medium;2,51;0,3513;1,89;0,35;0,35;0,96;0,02;0,96;1,89;0,13;13,43;23,92;1,16;11,12;Retail/Trading;Non-Big4;State-owned
High;0,43;0,2189;1,74;0,37;0,37;1,06;0,11;1,06;1,74;0,19;13,66;41,58;10,94;7,14;Services;Big4;State-owned
High;2,26;0,194;0,71;0,38;0,38;1,16;0,12;1,16;0,71;0,35;13,77;18,5;6,30;14,54;Services;Big4;State-owned
Medium;2,35;0,2422;1,06;0,39;0,39;1,12;-0,06;1,12;1,06;0,27;13,43;32,25;0,86;12,84;Retail/Trading;Big4;State-owned
Medium;1,93;-0,0746;0,13;0,39;0,39;5,16;0,09;5,16;0,13;0,51;13,78;37,5;1,10;18,39;Manufacturing;Big4;Foreign-owned (FDI)
Low;2,06;0,1739;0,21;0,40;0,40;4,59;0,15;4,59;0,21;0,17;13,62;36,5;1,19;7,51;Retail/Trading;Non-Big4;Foreign-owned (FDI)
Low;2,61;-0,0725;0,5;0,41;0,41;1,55;-0,22;1,55;0,5;0,41;13,27;25;0,69;9,99;Retail/Trading;Big4;State-owned
Low;2,22;-0,1209;1,96;0,41;0,41;0,86;-0,03;0,86;1,96;0,22;14,09;19,33;1,02;6,62;Services;Non-Big4;Foreign-owned (FDI)
Medium;2,04;-0,2054;0,3;0,41;0,41;2,59;-0,06;2,59;0,3;0,1;13,84;51,83;0,75;9,32;Services;Big4;Foreign-owned (FDI)
Low;2,25;0,2583;0,49;0,45;0,45;1,88;0,22;1,88;0,49;0,43;13,59;19,17;4,48;17,58;Services;Non-Big4;State-owned
High;2,2;-0,0204;0,72;0,46;0,46;1,14;-0,36;1,14;0,72;0,32;13,99;18,17;6,47;17,74;Retail/Trading;Big4;Foreign-owned (FDI)
High;2,4;0,1762;0,57;0,48;0,48;1,74;0,15;1,74;0,57;0,11;13,53;36;5,27;7,29;Services;Big4;Foreign-owned (FDI)
Low;2,28;0,0498;0,55;0,48;0,48;1,26;0,10;1,26;0,55;0,4;13,65;73,42;6,61;12,68;Retail/Trading;Big4;Foreign-owned (FDI)
Low;2,31;-0,0259;0,56;0,66;0,66;2,77;0,09;2,77;0,56;0,12;13,41;28,46;9,74;10,99;Services;Big4;Foreign-owned (FDI)
High;2,32;-0,0121;0,57;0,69;0,69;5,09;0,09;5,09;0,57;0,26;13,59;28,67;10,00;18,25;Services;Big4;Foreign-owned (FDI)
High;2,32;-0,0857;0,51;0,72;0,72;1,13;-0,06;1,13;0,51;0,18;13,31;20,42;8,90;7,49;Services;Non-Big4;State-owned
Medium;2,41;-0,0857;0,43;0,76;0,76;0,92;-0,01;0,92;0,43;0,21;13,2;62,5;8,14;16,77;Services;Non-Big4;Foreign-owned (FDI)
High;1,11;3,00;0,78;0,43;-0,02;1,83;0,08;0,77;0,42;0,04;17,00;21;4,7;4,35;Retail/Trading;Non-Big4;Private
High;1,06;0,1047;0,78;0,03;-0,01;2,56;0,02;0,88;0,6;0,09;30,00;57,08;3,69;4,43;Manufacturing;Non-Big4;State-owned
High;1,07;0,1564;0,78;0,12;-0,01;1,17;0,04;0,83;2;0;30,00;26,17;3,9;4,86;Manufacturing;Non-Big4;Private
Low;1,04;3,00;0,76;0,07;-0,01;1,08;0,02;0,8;2,94;0,23;6,00;22,67;4,31;4,89;Manufacturing;Non-Big4;Private
High;1,63;0,5165;0,1;0,00;0,00;105,70;0,22;105,70;0,1;0,26;13,88;27,42;1,55;10,65;Retail/Trading;Big4;Private
High;1,79;0,0414;0,05;0,00;0,00;37,50;0,47;37,50;0,05;0,21;14,04;25,83;1,62;7,9;Retail/Trading;Non-Big4;Private
High;1,02;2,00;0,75;0,09;0;1,12;0,04;0,82;2,63;0,03;25,00;22,58;3,82;4,55;Retail/Trading;Non-Big4;Private
High;1,21;2,00;0,69;0,56;0;1,24;0,07;0,83;0,51;0,24;24,00;30;4,56;4,33;Manufacturing;Non-Big4;Private
Low;1,12;2,00;0,77;0,01;0;4,45;0,16;0,76;0,23;0,26;24,00;19;4,2;4,73;Retail/Trading;Non-Big4;State-owned
Low;0,96;-0,0287;0,77;0,04;0,01;2,76;0,02;0,88;0,53;0,09;26,00;39,83;4,01;4,32;Manufacturing;Non-Big4;Private
High;1,1;2,00;0,67;0,13;0,01;1,10;0,06;0,88;2,48;0,16;8,00;52,5;3,77;5,22;Manufacturing;Non-Big4;Private
High;1,07;3,00;0,78;0,19;0,02;2,19;0,04;0,84;0,61;0,18;5,00;32,42;3,17;5,56;Manufacturing;Big4;Private
Medium;1,29;3,00;0,77;0,07;0,02;1,26;0,01;0,98;2,31;0,3;27,00;20,67;3,98;5,2;Manufacturing;Non-Big4;State-owned
High;1,04;3,00;0,74;0,07;0,02;1,13;0,00;0,89;4,22;0,07;8,00;42,83;4,09;5,31;Manufacturing;Non-Big4;Private
High;2,22;0,1941;0,18;0,03;0,03;6,11;0,11;6,11;0,18;0,7;14;22,5;4,79;6,42;Services;Non-Big4;Private
High;1,37;2,00;0,71;0,19;0,03;4,21;0,02;0,92;0,94;0,29;7,00;18,08;4,2;4,67;Retail/Trading;Non-Big4;State-owned
Low;1,29;3,00;0,72;0,51;0,03;1,50;0,06;0,93;0,93;0,23;32,00;28,46;3,99;5,12;Retail/Trading;Non-Big4;Private
High;1,65;0,8049;0,02;0,04;0,04;39,06;0,31;39,06;0,02;0,49;13,88;23;2,92;5,94;Services;Big4;Private
High;0,39;-0,0055;5,07;0,04;0,04;1,09;0,01;1,09;5,07;0,34;13,84;21,25;10,30;10,37;Retail/Trading;Big4;State-owned
Medium;1,22;3,00;0,68;0,04;0,04;1,16;0,01;0,9;4,32;0,15;30,00;27,25;4,09;5,14;Manufacturing;Big4;Private
High;1,36;3,00;0,73;0,08;0,04;1,42;0,01;0,82;1,77;0,33;12,00;21;4,75;5,19;Manufacturing;Non-Big4;State-owned
High;1,35;3,00;0,69;0,11;0,04;1,21;-0,01;1,05;2,71;0,3;13,00;32,33;4,46;5,42;Manufacturing;Non-Big4;Private
Low;1,2;2,00;0,73;0,51;0,04;1,70;0,08;0,94;0,38;0,18;30,00;21;3,88;5,3;Manufacturing;Non-Big4;Private
High;0,73;-0,1243;4,38;0,04;0,04;1,13;0,01;1,13;4,38;0,13;13,04;46,08;10,36;14,74;Retail/Trading;Big4;State-owned
Medium;0,03;0,2223;5,04;0,04;0,04;1,10;0,02;1,10;5,04;0,35;13,55;26,25;11,83;8,9;Retail/Trading;Non-Big4;State-owned
High;1,25;0,0165;0,78;0,04;0,04;2,50;0,09;2,50;0,61;0,24;25,00;16;4,43;5,22;Manufacturing;Non-Big4;Private
High;1,22;0,0071;0,73;0,05;0,05;2,40;0,02;2,40;0,65;0,11;28,00;22,25;4,39;4,92;Manufacturing;Non-Big4;State-owned
Medium;1,98;0,3791;0,02;0,05;0,05;41,79;0,10;41,79;0,02;0,51;14,23;34,17;4,01;6,23;Retail/Trading;Non-Big4;Private
Medium;1,29;3,00;0,68;0,08;0,05;1,16;0,08;0,97;2,45;0,28;32,00;30,33;4,2;5,22;Manufacturing;Non-Big4;Private
High;1;2,00;0,76;0,27;0,05;1,93;0,12;0,89;0,74;0,21;24,00;18,67;4,33;5,17;Retail/Trading;Big4;Private
High;1,07;2,00;0,81;0,22;0,05;2,57;0,12;0,96;0,51;0,1;12,00;29,83;4,13;5,79;Retail/Trading;Big4;Private
Low;0,41;-0,1707;4,36;0,05;0,05;1,13;0,03;1,13;4,36;0,37;13,23;23,42;9,92;12,42;Services;Non-Big4;Foreign-owned (FDI)
High;0,47;-0,0243;4,06;0,05;0,05;1,14;0,03;1,14;4,06;0,37;13,5;31;9,68;11,11;Retail/Trading;Non-Big4;Foreign-owned (FDI)
Medium;1,03;3,00;0,72;0,16;0,06;4,20;0,07;0,9;0,85;0,24;17,00;38,92;4,22;4,62;Manufacturing;Big4;State-owned
High;1,26;3,00;0,74;0,19;0,06;2,27;0,06;1;0,57;0,14;17,00;25,33;4,42;4,82;Manufacturing;Big4;State-owned
High;1,07;2,00;0,71;0,07;0,06;1,26;0,01;0,92;2,75;0,2;28,00;67,75;3,99;5,02;Retail/Trading;Non-Big4;Private
Medium;1,43;2,00;0,64;0,51;0,06;1,47;0,07;0,97;0,46;0,26;18,00;46;4,57;4,84;Manufacturing;Non-Big4;Private
Medium;0,09;0,0556;0,12;0,06;0,06;5,41;0,43;5,41;0,12;0,3;13,39;48,17;9,20;7,9;Services;Big4;Foreign-owned (FDI)
High;1,72;0,2329;0,45;0,07;0,07;1,42;0,19;1,42;1,08;0,47;19,00;25,5;5,6;5,33;Manufacturing;Non-Big4;Private
High;1,43;3,00;0,71;0,08;0,07;1,10;0,05;0,92;2,75;0,24;1,00;38,58;5;4,66;Manufacturing;Non-Big4;State-owned
Low;1,71;-0,0121;8,84;0,08;0,08;1,02;0,02;1,02;8,84;0,31;14;44,25;21,35;7,49;Retail/Trading;Big4;State-owned
High;1,37;0,0108;0,68;0,04;0,08;2,91;0,03;2,91;0,49;0,32;31,00;31,25;4,58;5,41;Manufacturing;Non-Big4;Private
Medium;1,44;2,00;0,68;0,54;0,08;1,48;0,08;1,03;0,7;0,15;16,00;27;4,81;5,33;Manufacturing;Non-Big4;Private
High;1,48;0,0243;9,61;0,08;0,08;1,03;0,01;1,03;9,61;0,05;14,61;50,75;21,61;16,45;Manufacturing;Big4;Private
High;0,08;0,338;0,1;0,08;0,08;4,14;0,47;4,14;0,1;0,34;13,69;23,92;8,72;8,63;Retail/Trading;Big4;Foreign-owned (FDI)
Medium;2,37;1,7574;0,71;0,08;0,08;2,79;0,49;2,79;0,71;0,24;13,26;52,5;10,24;7,9;Retail/Trading;Big4;Foreign-owned (FDI)
Medium;2,52;0,3084;0,19;0,09;0,09;7,86;0,23;7,86;0,19;0,25;13,26;24,5;20,02;7,9;Services;Big4;Foreign-owned (FDI)
Medium;1,66;0,0361;9,29;0,09;0,09;1,02;0,01;1,02;9,29;0,07;14,3;34;21,10;15,33;Manufacturing;Non-Big4;Foreign-owned (FDI)
Low;2,51;-0,0145;0,17;0,09;0,09;10,21;0,17;10,21;0,17;0,05;13,41;28,46;19,73;10,65;Retail/Trading;Big4;Foreign-owned (FDI)
Medium;1,66;0,0829;0,16;0,09;0,09;6,13;0,09;6,13;0,16;0,17;14,31;19,17;6,90;12,69;Services;Big4;State-owned
Medium;1,86;0,2204;9,58;0,09;0,09;1,01;0,02;1,01;9,58;0,07;13,96;24,42;22,37;19,41;Services;Non-Big4;State-owned
Medium;1,79;-0,0896;8,65;0,09;0,09;1,02;0,01;1,02;8,65;0,03;14,04;24,33;20,36;10,38;Services;Big4;Foreign-owned (FDI)
Medium;1,9;0,2051;0,48;0,10;0,10;1,45;0,17;1,45;0,82;0,44;19,00;36,17;12,95;5,56;Manufacturing;Non-Big4;Foreign-owned (FDI)
Medium;0,88;0,6623;0,26;0,10;0,10;6,40;0,44;6,40;0,26;0,27;13,83;58,33;15,30;18,39;Services;Big4;Foreign-owned (FDI)
Low;1,79;0,1915;0,23;0,11;0,11;4,43;0,13;4,43;0,23;0,4;14,21;29,25;6,37;17,99;Manufacturing;Non-Big4;Private
Medium;1,87;0,0056;7,53;0,12;0,12;1,01;0,01;1,01;7,53;0,06;14;22,5;18,33;7,88;Services;Non-Big4;Foreign-owned (FDI)
Medium;1,9;0,2118;0,49;0,13;0,13;2,38;0,12;2,38;0,65;0,57;25,00;40,92;10,74;6,3;Manufacturing;Big4;State-owned
Low;2,05;0,1107;0,25;0,14;0,14;3,98;0,10;3,98;0,25;0,35;14,18;42,83;5,32;11,01;Retail/Trading;Non-Big4;Foreign-owned (FDI)
Medium;1,68;0,1298;0,56;0,15;0,15;1,77;0,12;1,77;0,74;0,46;5,00;21,08;5,86;6,18;Services;Big4;Private
Medium;1,01;0,1384;0,81;0,15;0,15;3,21;0,17;3,21;0,36;0,17;33,00;34,25;4,16;5,1;Manufacturing;Non-Big4;Private
Medium;1,65;0,085;0,54;0,16;0,16;3,30;0,13;3,30;0,37;0,52;22,00;20;4,82;6,18;Manufacturing;Big4;Private
Low;2,57;-0,0113;0,58;0,16;0,16;5,73;0,35;5,73;0,58;0,31;13,91;16,92;10,12;20;Services;Big4;Foreign-owned (FDI)
Low;1,64;0,2407;0,29;0,17;0,17;3,35;0,11;3,35;0,29;0,33;13,86;37,33;4,79;16,89;Manufacturing;Non-Big4;State-owned
Medium;1,66;-0,113;0,53;0,17;0,17;2,40;0,14;2,40;0,45;0,4;27,00;25,17;5,07;5,25;Services;Big4;Private
Medium;1,21;0,0492;0,72;0,18;0,18;3,02;0,17;3,02;0,39;0,27;17,00;42;4,08;4,69;Manufacturing;Non-Big4;State-owned
Medium;1,77;0,228;0,48;0,18;0,18;2,41;0,14;2,41;0,42;0,64;13,86;44;8,86;6,01;Manufacturing;Non-Big4;State-owned
Medium;1,17;0,2156;0,69;0,19;0,19;3,08;0,17;3,08;0,4;0,1;21,00;33,5;4,34;4,82;Manufacturing;Non-Big4;Private
Low;0,29;0,1196;1,89;0,20;0,20;1,20;0,12;1,20;1,89;0,44;13,5;28,75;6,71;12,87;Retail/Trading;Big4;Foreign-owned (FDI)
High;1,64;-0,0222;0,08;0,22;0,22;8,34;0,08;8,34;0,08;0,02;13,75;18,83;1,02;13,49;Manufacturing;Big4;State-owned
Low;0,58;0,164;1,55;0,22;0,22;1,20;0,10;1,20;1,55;0,49;13,33;56,75;5,41;16,02;Services;Big4;State-owned
Low;0,75;0,1069;1,75;0,23;0,23;1,16;0,11;1,16;1,75;0,08;13,59;35,17;5,99;11,14;Services;Big4;Foreign-owned (FDI)
Low;1,43;-0,0822;0,21;0,24;0,24;3,96;0,08;3,96;0,21;0,38;14,33;20,67;3,86;14,54;Manufacturing;Non-Big4;State-owned
Low;1,85;0,2674;1,03;0,25;0,25;1,44;0,10;1,44;1,03;0,32;14,05;28,58;3,53;18,62;Retail/Trading;Non-Big4;Private
Medium;1,71;0,5684;0,97;0,26;0,26;1,45;0,09;1,45;0,97;0,37;13,66;23;2,80;12,69;Retail/Trading;Big4;State-owned
Medium;1,6;-0,0801;0,54;0,26;0,26;3,65;0,12;3,65;0,21;0,48;13,82;65,17;7,22;5,74;Services;Non-Big4;Private
Low;0,73;0,1961;1,55;0,26;0,26;1,16;0,11;1,16;1,55;0,44;13,51;32,25;8,02;15,23;Retail/Trading;Big4;Foreign-owned (FDI)
Low;2,34;0,0531;0,06;0,27;0,27;10,60;0,11;10,60;0,06;0,27;13,64;33,67;0,96;14,17;Services;Non-Big4;State-owned
Low;1,76;0,0372;1,02;0,27;0,27;1,43;0,09;1,43;1,02;0,27;14,07;28,46;3,66;15,23;Services;Big4;Private
